date,temperature,humidity,wind_speed,precipitation,condition
2024-01-01,22.5,65,12.3,0.0,Sunny
2024-01-02,18.2,78,8.7,2.5,Rainy
2024-01-03,25.1,55,15.2,0.0,Sunny
2024-01-04,16.8,82,6.4,5.2,Cloudy
2024-01-05,28.3,48,18.9,0.0,Sunny
2024-01-06,14.5,85,4.2,8.1,Rainy
2024-01-07,26.7,52,14.6,0.0,Sunny
2024-01-08,19.4,75,9.8,1.8,Cloudy
2024-01-09,23.8,58,11.5,0.0,Sunny
2024-01-10,17.1,80,7.3,3.4,Rainy
2024-01-11,27.2,49,16.1,0.0,Sunny
2024-01-12,15.6,87,5.9,6.7,Rainy
2024-01-13,24.9,54,13.8,0.0,Sunny
2024-01-14,20.3,71,10.2,0.5,Cloudy
2024-01-15,29.1,45,19.4,0.0,Sunny
2024-01-16,13.8,89,3.7,9.2,Rainy
2024-01-17,25.6,51,15.7,0.0,Sunny
2024-01-18,18.7,76,8.9,2.1,Cloudy
2024-01-19,22.4,62,12.6,0.0,Sunny
2024-01-20,16.2,83,6.8,4.3,Rainy
