text,label
"This movie is absolutely fantastic! I loved every minute of it.",positive
"Terrible acting and boring plot. Waste of time.",negative
"Great cinematography and excellent performances by the cast.",positive
"Not my cup of tea. Too slow and predictable.",negative
"Amazing special effects and thrilling action sequences.",positive
"Poor script and weak character development.",negative
"One of the best movies I've seen this year!",positive
"Disappointing ending ruined the whole experience.",negative
"Brilliant direction and outstanding performances.",positive
"Boring and overrated. Don't waste your money.",negative
"Loved the soundtrack and visual effects.",positive
"Confusing plot and terrible dialogue.",negative
"Excellent storytelling and great character arcs.",positive
"Worst movie ever made. Complete garbage.",negative
"Outstanding cinematography and amazing acting.",positive
"Predictable story with no surprises.",negative
"Fantastic movie with great entertainment value.",positive
"Terrible pacing and boring characters.",negative
"Brilliant performances and engaging plot.",positive
"Disappointing and not worth watching.",negative
